Sector0MD5	Unique	FirstUniqueByte	FileSizeBytes	FileName
14ACB50599EE7F19A4753B2E45DAF386	True	0	650428416	H:\Emulation\3DO\ALL_3DO_ROMS\Games\Twisted - The Game Show (1993)(Electronic Arts)(EU).zip
14B3F0DF3248D6F4C8FB6CC1252DB97A	True	0	645185536	H:\Emulation\3DO\ALL_3DO_ROMS\Educational\Sesame Street - Numbers (1995)(EA Kids)(JP)(en-ja).zip
15701A57463ECCC8B4C9B010F758C92D	True	0	650428416	H:\Emulation\3DO\ALL_3DO_ROMS\Games\Road Rash (1994)(Electronic Arts)(JP)[!].zip
1596FE913B6E454769D3CF1A7E5080EE	True	0	671399936	H:\Emulation\3DO\ALL_3DO_ROMS\Games\Daedalus Encounter, The (1995)(Panasonic)(US)(Disc 2 of 4)[!].zip
15B9525C2A384DB495A3ABD89722860F	True	0	462295040	H:\Emulation\3DO\ALL_3DO_ROMS\Samplers\Panasonic REAL 3DO Interactive Multiplayer - Sampler CD (1994)(Panasonic)(JP)[!].zip
169700E7647517A9D49CA4B3090056BB	True	0	503930880	H:\Emulation\3DO\ALL_3DO_ROMS\Games\Gridders v1.1 (1994)(Studio 3DO)(EU).zip
17CB41FE4A5280C9C5A4903F8B71F5BD	True	0	581525504	H:\Emulation\3DO\ALL_3DO_ROMS\Educational\Fun 'n Games (1993)(Panasonic)(US)[!].zip
18CA1E136237805833A316F3E3633B49	True	0	629456896	H:\Emulation\3DO\ALL_3DO_ROMS\Adult\NeuroDancer - Journey Into The Neuronet (1994)(Pixis Interactive)(US).zip
18CFA238790577EB3D1D0F663D16060C	True	0	294215680	H:\Emulation\3DO\ALL_3DO_ROMS\Adult\Virtual Cameraman Part 4 - Shiori Fujitani (1995)(Transpegasus)(JP)[!].zip
1929EA85F7F8BCC30A278B961E7920C2	True	0	675594240	H:\Emulation\3DO\ALL_3DO_ROMS\Games\Paddock Note '95 (1995)(Fuji Television)(JP)[!].zip
1BC18F2AD561EE6698EF01B38E276E81	True	0	524599296	H:\Emulation\3DO\ALL_3DO_ROMS\Adult\Virtual Cameraman Part 1 - Naomi Sawada & Anna Juri (1995)(Transpegasus)(JP)[!].zip
1C56A2F2CA35627F10FF311A795BCCF7	True	0	545873920	H:\Emulation\3DO\ALL_3DO_ROMS\Games\D no Shokutaku (1995)(San-Ei Shobo Publishing)(JP)(Disc 1 of 2)[!].zip
1CA48D6E0CA453C3A87052A6B92231AE	True	0	425287680	H:\Emulation\3DO\ALL_3DO_ROMS\Games\Dragon's Lair (1994)(Elite - ReadySoft)(EU)(M4).zip
1CC8C458AE56688A1C22624CE15C40AC	True	0	26828800	H:\Emulation\3DO\ALL_3DO_ROMS\Games\AI Shougi (1995)(Taito)(JP).zip
1DBF779A74FD3269589CBD3DCFA7E4BE	True	0	304705536	H:\Emulation\3DO\ALL_3DO_ROMS\Games\Stellar 7 - Draxon's Revenge (1993)(Dynamix)(US)[!].zip
1F0AFF688CCA19AD9EDB0941AFCB070C	True	0	658817024	H:\Emulation\3DO\ALL_3DO_ROMS\Multimedia\Aqua World - Umibi Monogatari (1995)(Mizuki)(JP).zip
1F925AFD64594F299C9492DA1994C188	False	-1	655974400	H:\Emulation\3DO\ALL_3DO_ROMS\Games\Psychic Detective (1995)(Electronic Arts)(EU)(Disc 1 of 3)[!].zip
1F925AFD64594F299C9492DA1994C188	False	-1	655978496	H:\Emulation\3DO\ALL_3DO_ROMS\Games\Psychic Detective (1995)(Electronic Arts)(US)(Disc 1 of 3)[!].zip
20B52C3833124CD287B18F65F2AF4610	True	0	650735616	H:\Emulation\3DO\ALL_3DO_ROMS\Educational\Mathemagics - An Interactive Learning Cube (1994)(L3)(US)[!].zip
217024DB8EAFA597615263AC4A0C9586	False	-1	676456448	H:\Emulation\3DO\ALL_3DO_ROMS\Games\Captain Quazar (1995)(Studio 3DO)(EU)[!].zip
